Congratulations! All your png are belong to us!
SYSCALL(args) 		 = return
access("/etc/localtime\0", 0x4, 0x1)		 = 0 0
open_nocancel("/etc/localtime\0", 0x0, 0x0)		 = 5 0
fstat64(0x5, 0x7FFF5056DDF0, 0x0)		 = 0 0
read_nocancel(0x5, "TZif\0", 0x2A64)		 = 1267 0
close_nocancel(0x5)		 = 0 0
kevent_qos(0x4, 0x7FFF871721E8, 0x1)		 = 0 0
kevent_qos(0x4, 0x0, 0x0)		 = 1 0
kevent_qos(0x4, 0x7FFF871721E8, 0x1)		 = 0 0
kevent_qos(0x4, 0x7FFF73C42A20, 0x1)		 = 0 0
kevent_qos(0x4, 0x0, 0x0)		 = 1 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
close(0x3)		 = 0 0
kevent_qos(0x4, 0x7F95B240BBC0, 0x1)		 = 0 0
mmap(0x0, 0x1000, 0x3, 0x1002, 0xFFFFFFFF, 0x0)		 = 0x10FE66000 0
getrlimit(0x1008, 0x7FFF50570DE8, 0x3)		 = 0 0
fstat64(0x1, 0x7FFF50570E88, 0x3)		 = 0 0
write_nocancel(0x1, "Congratulations! All your png are belong to us!\n\0", 0x30)		 = 48 0
kevent_qos(0x4, 0x0, 0x0)		 = -1 Err#4
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 0

The file /var/root/Downloads/nar.jpg does not exist.
