0x0463	sub_401000(0000, 0000, 0467)	[00000000 : 00000000 : 66040000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000031
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000042
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFBE
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 000002EE
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000032
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000041
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFBF
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 000002FD
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000033
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000040
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFC0
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000030C
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000034
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000003F
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFC1
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000031B
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000035
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000003E
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFC2
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000032A
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000036
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000003D
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFC3
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000339
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000037
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000003C
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFC4
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000348
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000038
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000003B
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFC5
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000357
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000039
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000003A
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFC6
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000366
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000003A
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000039
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFC7
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000375
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000003B
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000038
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFC8
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000384
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000003C
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000037
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFC9
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000393
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000003D
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000036
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFCA
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 000003A2
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000003E
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000035
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFCB
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 000003B1
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000003F
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AB1	sub_401000(0000, 0000, 0a79)	[00000000 : 00000000 : 9a0a0000]	Reg: 
0x0A79	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A7C	sub_401000(0e98, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFF8D
0x0A7F	sub_401000(0000, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000073
0x0A82	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A85	sub_401000(0a77, 0a9a, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000034
0x0A88	sub_401000(0a9a, 0000, 0a8e)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFCC
0x0A8E	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0A91	sub_401000(0000, 0a9a, 0a97)	[00000000 : 00000000 : 00000000]	Reg: 
0x0A94	sub_401000(0000, 0000, 0a9b)	[00000000 : 00000000 : 9a0e0000]	Reg: 
0x0A9B	sub_401000(0e9a, 0000, 0000)	[0f000000 : 00000000 : 00000000]	Reg: FFFFFFF1
0x0A9E	sub_401000(0000, 0a78, 0000)	[00000000 : 00000000 : 00000000]	Reg: 000003C0
0x0AA1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0AA4	sub_401000(0000, 0000, 0aa8)	[00000000 : 00000000 : a70a0000]	Reg: 
0x0AA8	sub_401000(0aa7, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x0AAB	sub_401000(0000, 0a77, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000040
0x0AAE	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
